FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
1502,Botswana,Camera trap photo,Photo,1,Farmland 138,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1503,Botswana,Camera trap photo,Photo,1,Farmland 139,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1504,Botswana,Camera trap photo,Photo,4,Farmland 86,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1505,Botswana,Camera trap photo,Photo,3,Farmland 116,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1506,Botswana,Camera trap photo,Photo,4,Farmland 100,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1507,Botswana,Camera trap photo,Photo,1,Farmland 99,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1508,Botswana,Camera trap photo,Photo,1,Farmland 55,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1509,Botswana,Camera trap photo,Photo,1,Farmland 56,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1510,Botswana,Camera trap photo,Photo,1,Farmland 57,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1511,Botswana,Camera trap photo,Photo,4,Farmland 59,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1512,Botswana,Camera trap photo,Photo,1,Farmland 117,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1513,Botswana,Direct observation - cheetah handled,photo,1,Ghanzi, ,CCB data,E Ní Dhuineachdha,2015, ,-21.36643,21.26436, , ,-21.36643,21.26436,NAN130,medium,
1514,Botswana,Camera trap photo,Photo,1,Farmland 96,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1515,Botswana,Camera trap photo,Photo,1,Farmland 93,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1516,Botswana,Camera trap photo,Photo,3,Farmland 94,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1517,Botswana,Camera trap photo,Photo,1,Farmland 95,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1518,Botswana,Camera trap photo,Photo,2,Farmland 97,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1519,Botswana,Camera trap photo,Photo,1,Farmland 98,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1520,Botswana,Camera trap photo,Photo,2,Farmland 101,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1521,Botswana,Camera trap photo,Photo,1,Farmland 102,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2015,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
1522,Botswana,Direct observation report,verified sighting report,2,Central Kalahari Game Reserve,Leopard Pan road,InAfrica.de,FJ Weise,2015,http://inafrica.de/afrika-indien-safari/botswana-sichtungen-5/, , ,-21.281573,23.713736,-21.281573,23.713736,reliable sighting report,low - published online,
1523,Botswana,Direct observation - cheetah handled,photo,1,Ghanzi, ,CCB data,E Ní Dhuineachdha,2015, ,-21.22,22.33, , ,-21.22,22.33,NAN00039,medium,
1524,Botswana,Tourist record,video,3,Central Kalahari Game Reserve,Deception Valley,Youtube,FJ Weise,2015,https://www.youtube.com/watch?v=bj5C1Z_XNVI, , ,-20.956682,23.58484,-20.956682,23.58484, ,low - published online,
1525,Botswana,Direct observation report,verified sighting report,3,Nxai Pan NP,Nxai Pan camp sites,InAfrica.de,FJ Weise,2015,http://inafrica.de/afrika-indien-safari/botswana-sichtungen-5/, , ,-19.93941,24.77669,-19.93941,24.77669,reliable sighting report,low - published online,
1526,Botswana,Direct observation report,verified sighting report,3,Nxai Pan NP,Nxai Pan main waterhole,InAfrica.de,FJ Weise,2015,http://inafrica.de/afrika-indien-safari/botswana-sichtungen-5/, , ,-19.906295,24.764993,-19.906295,24.764993,reliable sighting report,low - published online,
1527,Botswana,Blog,photo,3,Nxai Pan NP,Boabab Loop near Nxai Camp,Africa Geographic,FJ Weise,2015,http://africageographic.com/blog/cheetah-shenanigans-in-botswana/, , ,-19.8786,24.7891,-19.8786,24.7891,Source: Africa Geographic Blog - female with 2 cubs observed regularly in the area between September - November 2015,low - published online,
1528,Botswana,Spoor,spoor - expert tracker,1,NG30,Camp-FordPan-Rhino,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1529,Botswana,Spoor,spoor - expert tracker,1,NG30,Rhino road,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1530,Botswana,Spoor,spoor - expert tracker,1,NG30,Rhino road,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1531,Botswana,Spoor,spoor - expert tracker,1,NG27A,Kanana- 6 wheel,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1532,Botswana,Spoor,spoor - expert tracker,1,NG30,Rhino road,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1533,Botswana,Spoor,spoor - expert tracker,1,NG30,Naledi,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1534,Botswana,Spoor,spoor - expert tracker,1,NG30,Rhino road,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1535,Botswana,Blog,photo,1,Okavango Delta - Santawani Consession,Gomoti Tended Camp,Wilderness Safaris,FJ Weise,2015,http://www.wilderness-safaris.com/blog/posts/explorations-great-wilderness-journey, , ,-19.55694,23.56909,-19.55694,23.56909, ,low - published online,
1536,Botswana,Tourist record,video,1,NG31 Wildlife Management Area,"Chitabe Camp, Okavango Delta",Youtube,FJ Weise,2015,https://www.youtube.com/watch?v=AfNDXmYoNWY, , ,-19.526519,23.377763,-19.526519,23.377763, ,low - published online,
1537,Botswana,Tourist record,video,3,NG31 Wildlife Management Area,"Chitabe Camp, Okavango Delta",Youtube,FJ Weise,2015,https://www.youtube.com/watch?v=XDMoPG6KcFk, , ,-19.526519,23.377763,-19.526519,23.377763, ,low - published online,
1538,Botswana,Spoor,spoor - expert tracker,1,NG27A,Nxabega -pompom,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1539,Botswana,Spoor,spoor - expert tracker,1,NG27A,Nxabega-xudum,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1540,Botswana,Tourist record,video,1,"Santawani, Okavango Delta", ,Youtube,A Bennett,2015,https://www.youtube.com/watch?v=MooKtaJmHsU,-19.448826,23.628277, , ,-19.448826,23.628277, ,Low-published online,
1541,Botswana,Tourist record,video,1,"Santawani, Okavango Delta", ,Youtube,A Bennett,2015,https://www.youtube.com/watch?v=gqyQ51BQuHg,-19.448826,23.628277, , ,-19.448826,23.628277,cheetah hs a collar,Low-published online,
1542,Botswana,Spoor,spoor - expert tracker,1,NG27A,Nxa old airstrip top loop,Looking for Lions Conservation Project,C R Kotze,2015, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1543,Botswana,Blog,photo,4,Okavango Delta,Seba Camp,Wilderness Safaris,FJ Weise,2015,http://www.wilderness-safaris.com/blog/posts/seeing-it-all-on-safari-at-seba, , ,-19.40613,22.56248,-19.40613,22.56248, ,low - published online,
1544,Botswana,Direct observation,photo,1,Moremi Game Reserve,3rd birdge,iNaturalist,N Mitchell,2015,http://www.inaturalist.org/observations/1506481,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,cheetah mobbed by warthogs,high - original record classified,cheetah@wcs.org 
1545,Botswana,Blog with photo,photo,4,Kwara Reserve,near Kwara Camp,Africa Geographic,FJ Weise,2015,http://africageographic.com/blog/cheetah-shenanigans-in-botswana/, , ,-19.1093,23.2653,-19.1093,23.2653,Source: Africa Geographic Blog - female with 3 cubs close to camp June - August 2015,low - published online,
1546,Botswana,Direct observation report,verified sighting report,1,Kwara Reserve,inside Kwara Camp site,InAfrica.de,FJ Weise,2015,http://inafrica.de/afrika-indien-safari/botswana-sichtungen-5/, , ,-19.109285,23.265365,-19.109285,23.265365, ,low - published online,
1547,Botswana,Tourist record,photo,5,Kwara Reserve,Kwara Camp,Flickr,FJ Weise,2015,https://www.flickr.com/photos/ch64/23960708196/, , ,-19.109213,23.26536,-19.109213,23.26536, ,low - published online,
1548,Botswana,Tourist record,photo,5,Kwara Reserve,Kwara concession,Flickr,FJ Weise,2015,https://www.flickr.com/photos/ch64/23618945879/, , ,-19.10449,23.26672,-19.10449,23.26672, ,low - published online,
1549,Botswana,Tourist record,photo,1,Moremi Game Reserve,Khwai River Lodge Airport,Flickr,FJ Weise,2015,https://www.flickr.com/photos/paslotte/16309649313/,-19.064713,23.227844, , ,-19.064713,23.227844, ,low - published online,
1550,Botswana,Blog,photo,2,Okavango Delta - Kwedi Concession,Vumbura Plains,Wilderness Safaris,FJ Weise,2015,http://www.wilderness-safaris.com/blog/posts/cats-and-dogs-at-vumbura-plains, , ,-18.97956,22.89358,-18.97956,22.89358, ,low - published online,
1551,Botswana,Direct observation,expert,1,NG 12,mixed grassland,Pride in Our Prides,E LeFlore,2015, ,-18.925176,22.693708, , ,-18.925176,22.693708,"Lone cheetah, unable to identify sex",medium,
1552,Botswana,Direct observation,expert,1,NG 12,bush grassland,Pride in Our Prides,E LeFlore,2015, ,-18.917264,22.746331, , ,-18.917264,22.746331,"Lone cheetah, unable to identify sex",medium,
1553,Botswana,Direct observation,expert,1,NG12 Wildlife Management Area,Seronga,AB Stein,AB Stein,2015, ,-18.875317,22.586875, , ,-18.875317,22.586875, ,medium,
1554,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1555,Botswana,Direct observation,Carcass,1,Kgalagadi Transfrontier Park,1km from a non-tourist road,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1556,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1557,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1558,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1559,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1560,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1561,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1562,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1563,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1564,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1565,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1566,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1567,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1568,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1569,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1570,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1571,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1572,Botswana,GPS collar telemetry,GPS telemetry record,2,Kgalagadi Transfrontier Park,protected area,CCB unpublished data,J Horgan,2016,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"Translocated conflict cheetah """"Tshaba""""",High,jhorgan@cheetahconservationbotswana.org 
1573,Botswana,Tourist record,video,5,Mashatu Game Reserve, ,Youtube,A Bennett,2016,https://www.youtube.com/watch?v=DG4lXFkAH5w,-22.177309,29.049604, , ,-22.177309,29.049604, ,Low-published online,
1574,Botswana,Blog,photo,5,Tuli Game Reserve,Mashatu Game Reserve,Africa Geographic,FJ Weise,2016,http://africageographic.com/blog/a-cheetah-nibbled-my-toe/, , ,-22.175917,29.046987,-22.175917,29.046987,cheetahs have been filmed already over 8 months (2015-2016) as part of a documentary,low - published online,
1575,Botswana,Direct observation - cheetah handled,photo,1,Ghanzi, ,CCB data,E Ní Dhuineachdha,2016, ,-21.669,21.13744, , ,-21.669,21.13744,150.03,medium,
1576,Botswana,Direct observation - cheetah handled,photo,1,Ghanzi, ,CCB data,E Ní Dhuineachdha,2016, ,-21.22,22.33, , ,-21.22,22.33,150.14,medium,
1577,Botswana,Direct observation,expert,4,NG29,PJ gate,Looking for Lions Conservation Project,C R Kotze,2016, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1578,Botswana,Spoor,spoor - expert tracker,4,NG30,Rhino road,Looking for Lions Conservation Project,C R Kotze,2016, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1579,Botswana,Direct observation + spoor,expert,3,NG27A,Nxabega- pom,Looking for Lions Conservation Project,C R Kotze,2016, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,spoor survey research data - repeat samples of same area,High,looking4lions@gmail.com 
1580,Botswana,Blog,photo,3,Okavango Delta - Kwedi Concession,Little Vumbura Camp - western section of the concession,Wilderness Safaris,FJ Weise,2016,http://www.wilderness-safaris.com/blog/posts/amazing-cheetah-and-cub-sighting-at-little-vumbura, , ,-18.9943,22.8566,-18.9943,22.8566, ,low - published online,
1581,Botswana,Tourist record,photo,6,Tuli Safari Area- Northern Tuli Game Reserve, ,Google Earth - Panoramio,H Punjani,?,http://www.panoramio.com/photo/70735623,-22.131309,29.147885, , ,-22.131309,29.147885, ,low - published online,
1582,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7189,23.6002, , ,-19.7189,23.6002,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1583,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.717,23.603, , ,-19.717,23.603,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1584,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7138,23.5866, , ,-19.7138,23.5866,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1585,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7101,23.557, , ,-19.7101,23.557,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1586,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.71,23.5682, , ,-19.71,23.5682,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1587,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7069,23.6337, , ,-19.7069,23.6337,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1588,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7038,23.6248, , ,-19.7038,23.6248,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1589,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7037,23.6202, , ,-19.7037,23.6202,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
1590,Botswana,GPS collar telemetry,GPS telemetry record,1,Moremi Game Reserve and surrounding Wildlife Management Areas, ,"Cozzi G, Broekhuis F, McNutt JW & Schmid B (2013) Comparison of the effects of artiﬁcial and natural barriers on large African carnivores: Implications for interspeciﬁc relationships and connectivity. Journal of Animal Ecology 82: 707-715.",FJ Weise,2007 - 2011,http://www.onlinelibrary.wiley.com/doi/10.1111/1365-2656.12039/abstract,-19.7023,23.6433, , ,-19.7023,23.6433,georeferenced GPS sat collar locations representing 5 study cheetahs,low - published already,
